Unit_Price,Quantity,Discount,Total_Price,Cluster_KMeans
1.8699999999999997,18.0,0.05,31.980000000000004,0
1.6399999999999997,4.0,0.0,6.560000000000002,1
1.7400000000000002,5.0,0.0,8.700000000000003,1
1.7999999999999998,15.0,0.0,27.0,1
0.9800000000000004,6.0,0.05,5.590000000000003,0
1.2800000000000002,31.0,0.05,37.7,3
1.2599999999999998,3.0,0.0,3.780000000000001,1
3.46,14.0,0.0,48.44,1
3.33,12.0,0.0,39.96000000000001,1
1.5899999999999999,3.0,0.0,4.769999999999996,1
1.2699999999999996,6.999999999999998,0.0,8.89,1
2.98,41.0,0.05,116.07,3
3.31,8.0,0.0,26.480000000000004,1
2.93,6.999999999999998,0.0,20.510000000000005,1
1.7599999999999998,17.0,0.1,26.930000000000007,4
0.9299999999999997,8.0,0.0,7.439999999999998,1
0.5700000000000003,5.0,0.1,2.5600000000000023,4
2.11,3.0,0.0,6.329999999999998,1
0.5499999999999998,3.0,0.0,1.6500000000000057,1
2.35,1.0,0.0,2.3499999999999943,1
3.23,12.0,0.0,38.75999999999999,1
1.4299999999999997,30.0,0.1,38.61,4
2.19,14.0,0.0,30.659999999999997,1
0.5199999999999996,31.0,0.1,14.510000000000005,4
0.5899999999999999,8.0,0.0,4.719999999999999,1
2.91,55.0,0.05,152.05,3
1.1899999999999995,9.0,0.0,10.710000000000008,1
0.9900000000000002,6.0,0.0,5.939999999999998,1
0.9500000000000002,47.0,0.1,40.18000000000001,2
3.23,3.0,0.0,9.689999999999998,1
1.1600000000000001,4.0,0.0,4.640000000000001,1
1.42,14.0,0.0,19.879999999999995,1
1.5899999999999999,3.0,0.0,4.769999999999996,1
3.12,3.0,0.0,9.36,1
1.5300000000000002,15.0,0.0,22.950000000000003,1
3.46,12.0,0.0,41.52000000000001,1
2.2,60.0,0.1,118.8,2
3.31,4.0,0.0,13.239999999999995,1
0.45999999999999996,15.0,0.0,6.900000000000006,1
0.5499999999999998,6.999999999999998,0.0,3.8499999999999943,1
1.0899999999999999,6.0,0.0,6.540000000000006,1
2.27,5.0,0.0,11.349999999999994,1
0.8899999999999997,34.0,0.05,28.75,3
0.45999999999999996,1.0,0.0,0.46000000000000796,1
1.04,10.0,0.0,10.400000000000006,1
1.3100000000000005,21.0,0.05,26.129999999999995,0
2.28,4.0,0.0,9.120000000000005,1
1.6399999999999997,6.0,0.0,9.840000000000003,1
0.45999999999999996,1.0,0.0,0.46000000000000796,1
0.9900000000000002,51.0,0.05,47.97,3
0.5800000000000001,10.0,0.0,5.799999999999997,1
3.12,8.0,0.0,24.960000000000008,1
0.7999999999999998,35.0,0.1,25.200000000000003,2
4.19,1.0,0.0,4.189999999999998,1
4.88,8.0,0.0,39.03999999999999,1
3.31,8.0,0.0,26.480000000000004,1
1.12,14.0,0.0,15.680000000000007,1
0.5800000000000001,13.0,0.0,7.540000000000006,1
0.6600000000000001,11.0,0.05,6.900000000000006,0
1.92,11.0,0.0,21.120000000000005,1
1.0099999999999998,12.0,0.0,12.120000000000005,1
0.9299999999999997,10.0,0.0,9.299999999999997,1
1.3100000000000005,6.0,0.0,7.859999999999999,1
3.43,13.0,0.0,44.59,1
3.31,2.0,0.0,6.6200000000000045,1
1.71,13.0,0.0,22.230000000000004,1
3.46,9.0,0.0,31.14,1
1.2300000000000004,1.0,0.0,1.2299999999999898,1
0.45999999999999996,5.0,0.0,2.3000000000000114,1
2.33,48.0,0.05,106.25,3
2.38,60.0,0.05,135.66,3
